Position,BPM,Probability
2250097,151.097,0.986108
2258819,151.097,0.986697
2267578,151.03,0.987189
2276348,151.03,0.98757
2285106,151.049,0.987817
2293865,151.049,0.987891
2302624,151.049,0.987722
2311383,151.049,0.987174
2320142,151.049,0.985947
2328901,151.049,0.983226
2337660,151.049,0.975825
2346420,151.049,0.925973
2355178,151.049,0.925973
2363936,151.239,0.975825
2372586,151.239,0.984991
2381333,151.174,0.987576
2390118,151.174,0.988913
2398869,151.108,0.98941
2407658,151.108,0.989552
2416413,151.108,0.989469
2425168,151.162,0.989417
2433892,151.162,0.989077
2442644,151.202,0.988634
2451372,151.202,0.988105
2460121,151.202,0.98749
2468870,151.253,0.986799
2477590,151.264,0.986033
2486330,151.319,0.985195
2495044,151.434,0.984284
2503721,151.434,0.983301
2512457,151.434,0.98226
2521193,151.434,0.981131
2529929,151.496,0.980106
2538629,151.496,0.978858
2547362,151.496,0.977522
2556095,151.496,0.976107
2564827,151.541,0.974611
2573534,151.51,0.973037
2582282,151.51,0.971377
2591014,151.576,0.969635
2599708,151.576,0.967808
2608436,151.576,0.966344
2617164,151.576,0.964429
2625892,151.576,0.962401
2634620,151.657,0.960288
2643301,151.646,0.958089
2652031,151.611,0.955806
2660775,151.504,0.953438
2669563,151.404,0.950987
2678353,151.232,0.9485
2687191,150.997,0.945936
2696077,150.708,0.945173
2705009,150.708,0.942778
