"timestamp","x","y","z"
"253383285","-2.0120807","2.6079137","9.240478"
"263272394","-2.0103426","2.606562","9.241238"
"273161502","-2.0087621","2.607789","9.241235"
"283050610","-2.0068042","2.6112497","9.240683"
"292939718","-2.0045567","2.6161816","9.239776"
"302829077","-2.0027418","2.6230083","9.238234"
"312718435","-2.0022228","2.6311624","9.236027"
"322607793","-2.003376","2.6402967","9.2331705"
"332497152","-2.0061939","2.6478047","9.230408"
"342386510","-2.0094392","2.6521015","9.228468"
"352275868","-2.0120115","2.654059","9.2273445"
"362165227","-2.0135698","2.6536493","9.227123"
"372054585","-2.0136867","2.6519692","9.22758"
"381943944","-2.0135076","2.6516676","9.227706"
"391833302","-2.015011","2.653207","9.226935"
"401722660","-2.018295","2.6535113","9.22613"
"411612019","-2.02068","2.6520205","9.226037"
"421501127","-2.0239835","2.6487956","9.226238"
"431390235","-2.0278447","2.6432877","9.226971"
"441278249","-2.0316975","2.6339824","9.228784"
"451165692","-2.0357296","2.618856","9.2322"
"461053385","-2.0397358","2.595969","9.237778"
"470941078","-2.0440571","2.5635657","9.245868"
"480828770","-2.0501318","2.5178847","9.257069"
"490716463","-2.0594456","2.4519486","9.272688"
"500604156","-2.0733094","2.3537166","9.295026"
"510491849","-2.0917287","2.2112083","9.325843"
"520379542","-2.1163616","2.0160315","9.36444"
"530267235","-2.1512945","1.7688016","9.406348"
"540162428","-2.2025373","1.4726771","9.445431"
"550057620","-2.2807343","1.1317191","9.473836"
"559952813","-2.3808079","0.74294037","9.487672"
"569848006","-2.499021","0.30035806","9.481602"
"579735699","-2.6350994","-0.20692159","9.447198"
"589623392","-2.7933483","-0.7748263","9.371924"
"599511085","-2.9691987","-1.3835933","9.246925"
"609398777","-3.155931","-2.0101619","9.068377"
"619286470","-3.3531003","-2.6317914","8.8355255"
"629174163","-3.5632439","-3.23049","8.550049"
"639061856","-3.7823567","-3.801768","8.214405"
"648949549","-4.0032115","-4.348855","7.8292956"
"658837242","-4.231223","-4.8708005","7.3897343"
"668724935","-4.4696465","-5.3524594","6.899967"
"678612628","-4.7207704","-5.7681766","6.377976"
"688500320","-4.992448","-6.0901303","5.849949"
"698387763","-5.279618","-6.3169956","5.3345404"
"708275206","-5.582845","-6.452691","4.840528"
"718162649","-5.900471","-6.501752","4.3758183"
"728050092","-6.226893","-6.4748096","3.9419236"
"737937785","-6.5539865","-6.3884373","3.5311837"
"747825478","-6.874168","-6.256345","3.1368878"
"757713170","-7.1830497","-6.088375","2.7516556"
"767600863","-7.477292","-5.8921676","2.3682442"
"777488556","-7.752714","-5.675333","1.98044"
"787376249","-8.006294","-5.440306","1.5932457"
"797263942","-8.23986","-5.183012","1.2154144"
"807151635","-8.454106","-4.900985","0.8628719"
"817039328","-8.649871","-4.5945005","0.55355895"
"826927021","-8.829096","-4.2653847","0.29944342"
"836814713","-8.993177","-3.9176347","0.10500322"
"846702406","-9.141454","-3.5593386","-0.032329846"
"856590099","-9.273129","-3.198547","-0.120403185"
"866477792","-9.388205","-2.8403776","-0.17319134"
"876365485","-9.48655","-2.489682","-0.2073209"
"886253178","-9.568025","-2.1520383","-0.24030681"
"896140621","-9.633523","-1.8305438","-0.28364396"
"906028063","-9.684123","-1.5290488","-0.3404702"
"915915506","-9.720972","-1.2541784","-0.40728122"
"925802949","-9.745809","-1.0116297","-0.4816018"
"935690642","-9.760773","-0.80432755","-0.56258535"
"945578335","-9.767892","-0.6344289","-0.6495389"
"955466028","-9.769039","-0.50261307","-0.741207"
"965353721","-9.765746","-0.4085547","-0.83631706"
"975241414","-9.759593","-0.34810352","-0.93020517"
"985129106","-9.752155","-0.31527647","-1.0159711"
"995016799","-9.7441025","-0.3052998","-1.0933343"
"1004904492","-9.735507","-0.31429428","-1.1650125"
"1014792185","-9.726978","-0.33512506","-1.2286987"
"1024679878","-9.719488","-0.360464","-1.2797478"
"1034567571","-9.713784","-0.3879097","-1.3145521"
"1044455264","-9.710146","-0.41830194","-1.3320006"
"1054342706","-9.70816","-0.45334736","-1.3349968"
"1064230149","-9.706711","-0.4948007","-1.3308111"
"1074117592","-9.704897","-0.5443341","-1.3246816"
"1084005035","-9.702396","-0.601347","-1.3183337"
"1093892728","-9.699275","-0.6637579","-1.3113388"
"1103780421","-9.6957855","-0.72960746","-1.3021269"
"1113668114","-9.692154","-0.7978283","-1.2890944"
"1123555807","-9.688568","-0.86718225","-1.2711332"
"1133443499","-9.6848","-0.93755776","-1.2497061"
"1143331192","-9.68014","-1.0099133","-1.229266"
"1153218885","-9.674104","-1.0844802","-1.2131556"
