"timestamp,""x"",""y"",""z"",""q"",""r"""
"253383285,""0.14167978"",""-0.094628274"",""-0.9345025"",""0.31253392"",""1.0471976"""
"263272394,""0.14157723"",""-0.0945771"",""-0.9344957"",""0.31261623"",""1.0471976"""
"273161502,""0.14153905"",""-0.09463476"",""-0.9344327"",""0.31280455"",""1.0471976"""
"283050610,""0.14153673"",""-0.09478642"",""-0.93430465"",""0.31314155"",""1.0471976"""
"292939718,""0.14155781"",""-0.094998285"",""-0.93412876"",""0.31359223"",""1.0471976"""
"302829077,""0.14163387"",""-0.09529772"",""-0.93393755"",""0.3140365"",""1.0471976"""
"312718435,""0.14179006"",""-0.095654376"",""-0.9337563"",""0.31439653"",""1.0471976"""
"322607793,""0.14203969"",""-0.096044"",""-0.9335832"",""0.31467873"",""1.0471976"""
"332497152,""0.14233938"",""-0.09633276"",""-0.93342733"",""0.31491733"",""1.0471976"""
"342386510,""0.14260508"",""-0.09645315"",""-0.93328786"",""0.31517345"",""1.0471976"""
"352275868,""0.14280082"",""-0.09646089"",""-0.9331529"",""0.315482"",""1.0471976"""
"362165227,""0.14290725"",""-0.09636258"",""-0.9330301"",""0.31582698"",""1.0471976"""
"372054585,""0.14291856"",""-0.09622535"",""-0.9329264"",""0.31617"",""1.0471976"""
"381943944,""0.14293529"",""-0.09616759"",""-0.93282807"",""0.31647003"",""1.0471976"""
"391833302,""0.14306368"",""-0.09618122"",""-0.93272305"",""0.316717"",""1.0471976"""
"401722660,""0.14325821"",""-0.09610578"",""-0.93261945"",""0.31695694"",""1.0471976"""
"411612019,""0.14336522"",""-0.09597162"",""-0.9325691"",""0.3170977"",""1.0471976"""
"421501127,""0.14349528"",""-0.09572433"",""-0.93249905"",""0.31731945"",""1.0471976"""
"431390235,""0.1436254"",""-0.09533522"",""-0.932399"",""0.3176715"",""1.0471976"""
"441278249,""0.14370087"",""-0.0947371"",""-0.93228"",""0.3181652"",""1.0471976"""
"451165692,""0.1436972"",""-0.093822576"",""-0.93214536"",""0.3188315"",""1.0471976"""
"461053385,""0.14357568"",""-0.09248832"",""-0.9319842"",""0.31974584"",""1.0471976"""
"470941078,""0.14332664"",""-0.090632714"",""-0.93178177"",""0.32097685"",""1.0471976"""
"480828770,""0.14295807"",""-0.08803636"",""-0.9315254"",""0.3226037"",""1.0471976"""
"490716463,""0.14242253"",""-0.08431657"",""-0.9312074"",""0.32474497"",""1.0471976"""
"500604156,""0.14156714"",""-0.078845985"",""-0.9308382"",""0.3275398"",""1.0471976"""
"510491849,""0.14016165"",""-0.07103666"",""-0.93042487"",""0.33108646"",""1.0471976"""
"520379542,""0.13810551"",""-0.060470182"",""-0.9299334"",""0.33540156"",""1.0471976"""
"530267235,""0.13556966"",""-0.047133766"",""-0.9292365"",""0.34046853"",""1.0471976"""
"540162428,""0.13285805"",""-0.031078435"",""-0.92811227"",""0.34639654"",""1.0471976"""
"550057620,""0.13050474"",""-0.012167627"",""-0.92593515"",""0.35421"",""1.0471976"""
"559952813,""0.12804243"",""0.009546916"",""-0.9228569"",""0.36311045"",""1.0471976"""
"569848006,""0.12505694"",""0.034188353"",""-0.9190326"",""0.37225145"",""1.0471976"""
"579735699,""0.12128262"",""0.062177736"",""-0.9146552"",""0.38056594"",""1.0471976"""
"589623392,""0.11690278"",""0.09359996"",""-0.9091084"",""0.3887091"",""1.0471976"""
"599511085,""0.11189277"",""0.12764734"",""-0.9018637"",""0.39727592"",""1.0471976"""
"609398777,""0.10622691"",""0.16323441"",""-0.8928039"",""0.40616682"",""1.0471976"""
"619286470,""0.10037616"",""0.19934158"",""-0.8822447"",""0.4145262"",""1.0471976"""
"629174163,""0.094729915"",""0.23537792"",""-0.87006366"",""0.42262608"",""1.0471976"""
"639061856,""0.08908646"",""0.2712195"",""-0.8562041"",""0.43060222"",""1.0471976"""
"648949549,""0.0828031"",""0.3070497"",""-0.84043807"",""0.43878007"",""1.0471976"""
"658837242,""0.0760598"",""0.34316778"",""-0.82262653"",""0.44691902"",""1.0471976"""
"668724935,""0.06888453"",""0.37917593"",""-0.8023427"",""0.4557705"",""1.0471976"""
"678612628,""0.06174189"",""0.41390553"",""-0.77976465"",""0.46565786"",""1.0471976"""
"688500320,""0.055529956"",""0.4460514"",""-0.7552354"",""0.47704753"",""1.0471976"""
"698387763,""0.050883774"",""0.47510687"",""-0.7299249"",""0.4887678"",""1.0471976"""
"708275206,""0.048047673"",""0.50118387"",""-0.70408374"",""0.50077164"",""1.0471976"""
"718162649,""0.04721125"",""0.5243552"",""-0.67799544"",""0.51297665"",""1.0471976"""
