time in seconds, count in bar, beats in bar
0.2 , 1 , 4
0.87 , 2 , 4
1.54 , 3 , 4
2.21 , 4 , 4
2.88 , 1 , 4
3.57 , 2 , 4
4.26 , 3 , 4
4.95 , 4 , 4
5.64 , 1 , 4
6.33 , 2 , 4
7.02 , 3 , 4
7.71 , 4 , 4
8.4 , 1 , 4
9.09 , 2 , 4
9.78 , 3 , 4
10.47 , 4 , 4
11.16 , 1 , 4
11.85 , 2 , 4
12.54 , 3 , 4
13.23 , 4 , 4
13.92 , 1 , 4
14.61 , 2 , 4
15.3 , 3 , 4
15.99 , 4 , 4
16.68 , 1 , 4
17.37 , 2 , 4
18.06 , 3 , 4
18.75 , 4 , 4
19.44 , 1 , 4
20.13 , 2 , 4
20.82 , 3 , 4
21.51 , 4 , 4
22.2 , 1 , 4
22.89 , 2 , 4
23.58 , 3 , 4
24.27 , 4 , 4
24.96 , 1 , 4
25.65 , 2 , 4
26.34 , 3 , 4
27.03 , 4 , 4
27.72 , 1 , 4
28.41 , 2 , 4
29.1 , 3 , 4
29.79 , 4 , 4
30.48 , 1 , 4
31.17 , 2 , 4
31.86 , 3 , 4
32.55 , 4 , 4
33.24 , 1 , 4
33.93 , 2 , 4
34.62 , 3 , 4
35.31 , 4 , 4
36 , 1 , 4
36.69 , 2 , 4
37.38 , 3 , 4
38.07 , 4 , 4
38.76 , 1 , 4
39.45 , 2 , 4
40.14 , 3 , 4
40.83 , 4 , 4
41.52 , 1 , 4
42.21 , 2 , 4
42.9 , 3 , 4
43.59 , 4 , 4
44.28 , 1 , 4
44.97 , 2 , 4
45.68 , 3 , 4
46.39 , 4 , 4
47.1 , 1 , 4
47.79 , 2 , 4
48.48 , 3 , 4
49.17 , 4 , 4
49.86 , 1 , 4
50.55 , 2 , 4
51.22 , 3 , 4
51.89 , 4 , 4
52.56 , 1 , 4
53.23 , 2 , 4
53.92 , 3 , 4
54.61 , 4 , 4
55.3 , 1 , 4
55.99 , 2 , 4
56.68 , 3 , 4
57.37 , 4 , 4
58.06 , 1 , 4
58.75 , 2 , 4
59.44 , 3 , 4
60.13 , 4 , 4
60.82 , 1 , 4
61.51 , 2 , 4
62.2 , 3 , 4
62.89 , 4 , 4
63.58 , 1 , 4
64.27 , 2 , 4
64.96 , 3 , 4
65.65 , 4 , 4
66.34 , 1 , 4
67.03 , 2 , 4
67.72 , 3 , 4
68.41 , 4 , 4
69.1 , 1 , 4
69.79 , 2 , 4
70.48 , 3 , 4
71.17 , 4 , 4
71.86 , 1 , 4
72.55 , 2 , 4
73.24 , 3 , 4
73.93 , 4 , 4
74.62 , 1 , 4
75.31 , 2 , 4
76 , 3 , 4
76.69 , 4 , 4
77.38 , 1 , 4
78.07 , 2 , 4
78.76 , 3 , 4
79.45 , 4 , 4
80.14 , 1 , 4
80.83 , 2 , 4
81.52 , 3 , 4
82.21 , 4 , 4
82.9 , 1 , 4
83.59 , 2 , 4
84.28 , 3 , 4
84.97 , 4 , 4
85.66 , 1 , 4
86.35 , 2 , 4
87.04 , 3 , 4
87.73 , 4 , 4
88.42 , 1 , 4
89.11 , 2 , 4
89.8 , 3 , 4
90.49 , 4 , 4
91.18 , 1 , 4
91.87 , 2 , 4
92.56 , 3 , 4
93.25 , 4 , 4
93.94 , 1 , 4
94.63 , 2 , 4
95.32 , 3 , 4
96.01 , 4 , 4
96.7 , 1 , 4
97.39 , 2 , 4
98.08 , 3 , 4
98.77 , 4 , 4
99.46 , 1 , 4
100.15 , 2 , 4
100.84 , 3 , 4
101.53 , 4 , 4
102.22 , 1 , 4
102.91 , 2 , 4
103.6 , 3 , 4
104.29 , 4 , 4
105 , 1 , 4
105.71 , 2 , 4
106.4 , 3 , 4
107.09 , 4 , 4
107.78 , 1 , 4
108.47 , 2 , 4
109.16 , 3 , 4
109.85 , 4 , 4
110.54 , 1 , 4
111.23 , 2 , 4
111.9 , 3 , 4
112.57 , 4 , 4
113.24 , 1 , 4
113.93 , 2 , 4
114.62 , 3 , 4
115.31 , 4 , 4
116 , 1 , 4
116.69 , 2 , 4
117.38 , 3 , 4
118.07 , 4 , 4
118.76 , 1 , 4
119.45 , 2 , 4
120.14 , 3 , 4
120.85 , 4 , 4
121.56 , 1 , 4
122.27 , 2 , 4
122.98 , 3 , 4
123.69 , 4 , 4
124.4 , 1 , 4
125.11 , 2 , 4
125.84 , 3 , 4
126.59 , 4 , 4
127.34 , 1 , 4
128.09 , 2 , 4
128.84 , 3 , 4
129.59 , 4 , 4
130.34 , 1 , 4
131.09 , 2 , 4
131.84 , 3 , 4
132.59 , 4 , 4
133.34 , 1 , 4
134.09 , 2 , 4
134.84 , 3 , 4
135.59 , 4 , 4
136.34 , 1 , 4
137.09 , 2 , 4
137.84 , 3 , 4
138.59 , 4 , 4
139.34 , 1 , 4
140.09 , 2 , 4
140.84 , 3 , 4
141.59 , 4 , 4
142.34 , 1 , 4
143.07 , 2 , 4
143.8 , 3 , 4
144.53 , 4 , 4
145.26 , 1 , 4
145.99 , 2 , 4
146.68 , 3 , 4
147.37 , 4 , 4
148.06 , 1 , 4
148.75 , 2 , 4
149.44 , 3 , 4
150.13 , 4 , 4
150.82 , 1 , 4
151.51 , 2 , 4
152.2 , 3 , 4
152.89 , 4 , 4
153.58 , 1 , 4
154.27 , 2 , 4
154.96 , 3 , 4
155.65 , 4 , 4
156.34 , 1 , 4
157.03 , 2 , 4
157.72 , 3 , 4
158.41 , 4 , 4
159.1 , 1 , 4
159.79 , 2 , 4
160.48 , 3 , 4
161.17 , 4 , 4
161.86 , 1 , 4
162.55 , 2 , 4
163.24 , 3 , 4
163.93 , 4 , 4
164.62 , 1 , 4
165.31 , 2 , 4
166 , 3 , 4
166.69 , 4 , 4
167.38 , 1 , 4
168.07 , 2 , 4
168.76 , 3 , 4
169.45 , 4 , 4
170.14 , 1 , 4
170.83 , 2 , 4
171.52 , 3 , 4
172.21 , 4 , 4
172.9 , 1 , 4
173.59 , 2 , 4
174.28 , 3 , 4
174.97 , 4 , 4
175.66 , 1 , 4
176.35 , 2 , 4
177.04 , 3 , 4
177.73 , 4 , 4
178.42 , 1 , 4
179.11 , 2 , 4
179.8 , 3 , 4
180.49 , 4 , 4
181.18 , 1 , 4
181.87 , 2 , 4
182.56 , 3 , 4
183.25 , 4 , 4
183.94 , 1 , 4
184.63 , 2 , 4
185.32 , 3 , 4
186.01 , 4 , 4
186.7 , 1 , 4
187.39 , 2 , 4
188.08 , 3 , 4
188.77 , 4 , 4
189.46 , 1 , 4
190.15 , 2 , 4
190.84 , 3 , 4
191.53 , 4 , 4
192.22 , 1 , 4
192.91 , 2 , 4
193.6 , 3 , 4
194.29 , 4 , 4
194.98 , 1 , 4
195.67 , 2 , 4
196.36 , 3 , 4
197.05 , 4 , 4
197.74 , 1 , 4
198.43 , 2 , 4
199.12 , 3 , 4
199.81 , 4 , 4
200.5 , 1 , 4
201.19 , 2 , 4
201.88 , 3 , 4
202.57 , 4 , 4
203.26 , 1 , 4
203.95 , 2 , 4
204.64 , 3 , 4
205.33 , 4 , 4
206.02 , 1 , 4
206.71 , 2 , 4
207.4 , 3 , 4
208.09 , 4 , 4
208.78 , 1 , 4
209.47 , 2 , 4
210.16 , 3 , 4
210.85 , 4 , 4
211.54 , 1 , 4
212.25 , 2 , 4
212.96 , 3 , 4
213.67 , 4 , 4
214.38 , 1 , 4
215.09 , 2 , 4
215.8 , 3 , 4
216.49 , 4 , 4
217.18 , 1 , 4
217.87 , 2 , 4
218.54 , 3 , 4
219.21 , 4 , 4
219.88 , 1 , 4
220.55 , 2 , 4
221.22 , 3 , 4
221.89 , 4 , 4
222.56 , 1 , 4
223.23 , 2 , 4
223.92 , 3 , 4
224.61 , 4 , 4
225.3 , 1 , 4
225.99 , 2 , 4
226.68 , 3 , 4
227.37 , 4 , 4
228.06 , 1 , 4
228.75 , 2 , 4
229.44 , 3 , 4
230.13 , 4 , 4
230.82 , 1 , 4
231.51 , 2 , 4
232.2 , 3 , 4
232.89 , 4 , 4
233.58 , 1 , 4
234.27 , 2 , 4
234.96 , 3 , 4
235.65 , 4 , 4
236.34 , 1 , 4
237.03 , 2 , 4
237.72 , 3 , 4
238.41 , 4 , 4
239.1 , 1 , 4
239.79 , 2 , 4
240.48 , 3 , 4
241.17 , 4 , 4
241.86 , 1 , 4
242.55 , 2 , 4
243.24 , 3 , 4
243.93 , 4 , 4
244.62 , 1 , 4
245.31 , 2 , 4
246 , 3 , 4
246.69 , 4 , 4
247.38 , 1 , 4
248.07 , 2 , 4
248.76 , 3 , 4
249.45 , 4 , 4
250.14 , 1 , 4
250.83 , 2 , 4
251.52 , 3 , 4
252.21 , 4 , 4
252.9 , 1 , 4
253.59 , 2 , 4
254.28 , 3 , 4
254.97 , 4 , 4
255.66 , 1 , 4
256.35 , 2 , 4
257.04 , 3 , 4
257.73 , 4 , 4
258.42 , 1 , 4
259.11 , 2 , 4
259.8 , 3 , 4
260.49 , 4 , 4
261.18 , 1 , 4
261.87 , 2 , 4
262.56 , 3 , 4
263.25 , 4 , 4
