time in seconds, count in bar, beats in bar
0.23 , 4 , 4
0.68 , 1 , 4
1.13 , 2 , 4
1.58 , 3 , 4
2.03 , 4 , 4
2.48 , 1 , 4
2.94 , 2 , 4
3.4 , 3 , 4
3.86 , 4 , 4
4.32 , 1 , 4
4.78 , 2 , 4
5.24 , 3 , 4
5.7 , 4 , 4
6.16 , 1 , 4
6.62 , 2 , 4
7.08 , 3 , 4
7.54 , 4 , 4
8 , 1 , 4
8.46 , 2 , 4
8.92 , 3 , 4
9.38 , 4 , 4
9.84 , 1 , 4
10.3 , 2 , 4
10.76 , 3 , 4
11.22 , 4 , 4
11.68 , 1 , 4
12.14 , 2 , 4
12.6 , 3 , 4
13.06 , 4 , 4
13.52 , 1 , 4
13.98 , 2 , 4
14.44 , 3 , 4
14.9 , 4 , 4
15.36 , 1 , 4
15.83 , 2 , 4
16.3 , 3 , 4
16.77 , 4 , 4
17.24 , 1 , 4
17.7 , 2 , 4
18.16 , 3 , 4
18.62 , 4 , 4
19.08 , 1 , 4
19.54 , 2 , 4
20 , 3 , 4
20.46 , 4 , 4
20.92 , 1 , 4
21.38 , 2 , 4
21.84 , 3 , 4
22.3 , 4 , 4
22.76 , 1 , 4
23.22 , 2 , 4
23.68 , 3 , 4
24.14 , 4 , 4
24.6 , 1 , 4
25.06 , 2 , 4
25.52 , 3 , 4
25.98 , 4 , 4
26.44 , 1 , 4
26.9 , 2 , 4
27.36 , 3 , 4
27.82 , 4 , 4
28.28 , 1 , 4
28.74 , 2 , 4
29.2 , 3 , 4
29.66 , 4 , 4
30.12 , 1 , 4
30.58 , 2 , 4
31.04 , 3 , 4
31.5 , 4 , 4
31.96 , 1 , 4
32.42 , 2 , 4
32.88 , 3 , 4
33.34 , 4 , 4
33.8 , 1 , 4
34.26 , 2 , 4
34.73 , 3 , 4
35.2 , 4 , 4
35.67 , 1 , 4
36.14 , 2 , 4
36.61 , 3 , 4
37.08 , 4 , 4
37.55 , 1 , 4
38.02 , 2 , 4
38.49 , 3 , 4
38.95 , 4 , 4
39.4 , 1 , 4
39.85 , 2 , 4
40.3 , 3 , 4
40.75 , 4 , 4
41.2 , 1 , 4
41.65 , 2 , 4
42.11 , 3 , 4
42.57 , 4 , 4
43.03 , 1 , 4
43.49 , 2 , 4
43.95 , 3 , 4
44.41 , 4 , 4
44.88 , 1 , 4
45.35 , 2 , 4
45.82 , 3 , 4
46.29 , 4 , 4
46.76 , 1 , 4
47.23 , 2 , 4
47.7 , 3 , 4
48.17 , 4 , 4
48.64 , 1 , 4
49.11 , 2 , 4
49.58 , 3 , 4
50.05 , 4 , 4
50.52 , 1 , 4
50.99 , 2 , 4
51.46 , 3 , 4
51.93 , 4 , 4
52.4 , 1 , 4
52.86 , 2 , 4
53.32 , 3 , 4
53.78 , 4 , 4
54.24 , 1 , 4
54.7 , 2 , 4
55.16 , 3 , 4
55.62 , 4 , 4
56.08 , 1 , 4
56.53 , 2 , 4
56.98 , 3 , 4
57.43 , 4 , 4
57.88 , 1 , 4
58.33 , 2 , 4
58.78 , 3 , 4
59.23 , 4 , 4
59.68 , 1 , 4
60.13 , 2 , 4
60.58 , 3 , 4
61.03 , 4 , 4
61.49 , 1 , 4
61.95 , 2 , 4
62.41 , 3 , 4
62.87 , 4 , 4
63.34 , 1 , 4
63.81 , 2 , 4
64.28 , 3 , 4
64.75 , 4 , 4
65.22 , 1 , 4
65.68 , 2 , 4
66.14 , 3 , 4
66.6 , 4 , 4
67.06 , 1 , 4
67.52 , 2 , 4
67.98 , 3 , 4
68.44 , 4 , 4
68.9 , 1 , 4
69.36 , 2 , 4
69.82 , 3 , 4
70.28 , 4 , 4
70.74 , 1 , 4
71.2 , 2 , 4
71.66 , 3 , 4
72.12 , 4 , 4
72.58 , 1 , 4
73.04 , 2 , 4
73.5 , 3 , 4
73.96 , 4 , 4
74.43 , 1 , 4
74.89 , 2 , 4
