"timestamp","x","y","z"
"159195717472","-2.3476405","2.5045493","8.98811"
"159205604937","-2.490176","2.4758027","8.98811"
"159215492402","-2.506945","2.8027954","9.021647"
"159225372118","-2.506945","2.8027954","9.021647"
"159235251833","-2.506945","2.8027954","9.021647"
"159245131549","-2.506945","2.8027954","9.021647"
"159255011264","-2.506945","2.8027954","9.021647"
"159264898729","-2.506945","2.8027954","9.021647"
"159274786195","-2.5344937","2.869871","9.030032"
"159284673660","-2.4961648","2.9944396","9.000088"
"159294561125","-2.505747","3.1453593","8.874321"
"159304456090","-2.505747","3.1537437","8.730588"
"159314351055","-2.4123206","2.9980328","8.647942"
"159324246020","-2.3847716","2.863882","8.649139"
"159334140985","-2.4793959","2.7129622","8.822817"
"159344028450","-2.5560536","2.6003714","8.919837"
"159353915916","-2.6027668","2.590789","8.958165"
"159363803381","-2.4985604","2.5824046","8.996494"
"159373690846","-2.4710116","2.5895913","8.9102545"
"159383578311","-2.4614294","2.6351068","8.737775"
"159393465777","-3.4064744","2.8590908","8.771313"
"159403353242","0.24674182","2.650678","8.276631"
"159413240707","-6.0367904","3.4016833","8.721005"
"159423128172","1.7703127","2.249423","8.62758"
"159433015637","-6.008044","3.3729367","8.7401705"
"159442903103","0.6611723","1.9380013","9.46722"
"159452790568","-4.4006286","2.9465284","8.653931"
"159462670283","-1.6481395","1.9535724","10.072097"
"159472549999","-1.8457725","2.7069733","8.462286"
"159482429714","-4.1251397","2.6602602","10.143964"
"159492309430","0.7677743","2.666249","8.134095"
"159502204395","-6.2164564","3.2076437","9.818169"
"159512099360","2.6410956","2.393156","8.122118"
"159521994325","-7.6645675","3.4004855","9.632513"
"159531889290","3.265137","2.1667764","8.526966"
"159541776755","-8.118525","3.5142744","9.4396715"
"159551664220","2.7920156","1.9559679","9.099503"
"159561551686","-7.1159863","3.3621566","9.081536"
"159571439151","1.4481109","1.9272213","9.468418"
"159581326616","-5.0342517","3.291488","8.591646"
"159591214081","-0.64320564","2.2158852","9.870871"
"159601101546","-2.4865825","3.1968637","8.416771"
"159610989012","-3.1956658","3.0363617","9.759478"
"159620876477","-1.3415089","3.007615","8.801257"
"159630763942","-3.168117","3.1070304","9.340256"
"159640651407","-1.6062174","2.944133","9.039614"
"159650538873","-2.7333245","2.9620996","9.400145"
"159660418588","-2.05179","2.7872243","9.355827"
"159670298304","-2.590789","2.8962219","9.5055485"
"159680178019","-2.164381","2.9525175","9.5055485"
"159690057734","-2.2961361","3.0770862","9.446858"
"159699945200","-2.088921","3.0363617","9.352234"
"159709832665","-2.2410386","2.948924","9.21928"
"159719720130","-2.223072","2.8507066","9.050394"
"159729607595","-2.1763587","2.7441044","9.013263"
"159739495061","-2.0817344","2.570427","8.959363"
"159749382526","-2.0925143","2.511736","8.874321"
"159759269991","-2.0170546","2.425496","8.894683"
"159769157456","-1.9691435","2.4746048","8.99889"
"159779044672","-1.9595612","2.4865825","9.151008"
"159788931887","-2.1020966","2.383574","9.256412"
