time in seconds, count in bar, beats in bar
0 , 1 , 4
0.53 , 2 , 4
1.06 , 3 , 4
1.59 , 4 , 4
2.12 , 1 , 4
2.65 , 2 , 4
3.18 , 3 , 4
3.71 , 4 , 4
4.24 , 1 , 4
4.77 , 2 , 4
5.3 , 3 , 4
5.83 , 4 , 4
6.36 , 1 , 4
6.89 , 2 , 4
7.42 , 3 , 4
7.95 , 4 , 4
8.48 , 1 , 4
9.01 , 2 , 4
9.54 , 3 , 4
10.07 , 4 , 4
10.6 , 1 , 4
11.13 , 2 , 4
11.66 , 3 , 4
12.19 , 4 , 4
12.72 , 1 , 4
13.25 , 2 , 4
13.78 , 3 , 4
14.31 , 4 , 4
14.84 , 1 , 4
15.37 , 2 , 4
15.9 , 3 , 4
16.43 , 4 , 4
16.96 , 1 , 4
17.49 , 2 , 4
18.02 , 3 , 4
18.55 , 4 , 4
19.08 , 1 , 4
19.61 , 2 , 4
20.14 , 3 , 4
20.67 , 4 , 4
21.2 , 1 , 4
21.73 , 2 , 4
22.26 , 3 , 4
22.79 , 4 , 4
23.32 , 1 , 4
23.85 , 2 , 4
24.38 , 3 , 4
24.91 , 4 , 4
25.44 , 1 , 4
25.97 , 2 , 4
26.5 , 3 , 4
27.03 , 4 , 4
27.56 , 1 , 4
28.09 , 2 , 4
28.62 , 3 , 4
29.15 , 4 , 4
29.68 , 1 , 4
30.21 , 2 , 4
30.74 , 3 , 4
31.27 , 4 , 4
31.8 , 1 , 4
32.33 , 2 , 4
32.86 , 3 , 4
33.39 , 4 , 4
33.92 , 1 , 4
34.45 , 2 , 4
34.98 , 3 , 4
35.51 , 4 , 4
36.04 , 1 , 4
36.57 , 2 , 4
37.1 , 3 , 4
37.63 , 4 , 4
38.16 , 1 , 4
38.69 , 2 , 4
39.22 , 3 , 4
39.75 , 4 , 4
40.28 , 1 , 4
40.81 , 2 , 4
41.34 , 3 , 4
41.87 , 4 , 4
42.4 , 1 , 4
42.93 , 2 , 4
43.46 , 3 , 4
43.99 , 4 , 4
44.52 , 1 , 4
45.05 , 2 , 4
45.58 , 3 , 4
46.11 , 4 , 4
46.64 , 1 , 4
47.17 , 2 , 4
47.7 , 3 , 4
48.23 , 4 , 4
48.76 , 1 , 4
49.29 , 2 , 4
49.82 , 3 , 4
50.35 , 4 , 4
50.88 , 1 , 4
51.41 , 2 , 4
51.94 , 3 , 4
52.47 , 4 , 4
53 , 1 , 4
53.53 , 2 , 4
54.06 , 3 , 4
54.59 , 4 , 4
55.12 , 1 , 4
55.65 , 2 , 4
56.18 , 3 , 4
56.71 , 4 , 4
57.24 , 1 , 4
57.77 , 2 , 4
58.3 , 3 , 4
58.83 , 4 , 4
59.36 , 1 , 4
59.89 , 2 , 4
60.42 , 3 , 4
60.95 , 4 , 4
61.48 , 1 , 4
62.01 , 2 , 4
62.54 , 3 , 4
63.07 , 4 , 4
63.6 , 1 , 4
64.13 , 2 , 4
64.66 , 3 , 4
65.19 , 4 , 4
65.72 , 1 , 4
66.25 , 2 , 4
66.78 , 3 , 4
67.31 , 4 , 4
67.84 , 1 , 4
68.37 , 2 , 4
68.9 , 3 , 4
69.43 , 4 , 4
69.96 , 1 , 4
70.49 , 2 , 4
71.02 , 3 , 4
71.55 , 4 , 4
72.08 , 1 , 4
72.61 , 2 , 4
73.14 , 3 , 4
73.67 , 4 , 4
74.2 , 1 , 4
74.73 , 2 , 4
75.26 , 3 , 4
75.79 , 4 , 4
76.32 , 1 , 4
76.85 , 2 , 4
77.38 , 3 , 4
77.91 , 4 , 4
78.44 , 1 , 4
78.97 , 2 , 4
79.49 , 3 , 4
80.01 , 4 , 4
80.53 , 1 , 4
81.05 , 2 , 4
81.57 , 3 , 4
82.09 , 4 , 4
82.61 , 1 , 4
83.13 , 2 , 4
83.65 , 3 , 4
84.17 , 4 , 4
84.69 , 1 , 4
85.21 , 2 , 4
85.73 , 3 , 4
86.25 , 4 , 4
86.77 , 1 , 4
87.29 , 2 , 4
87.81 , 3 , 4
88.33 , 4 , 4
88.85 , 1 , 4
89.37 , 2 , 4
89.89 , 3 , 4
90.41 , 4 , 4
90.93 , 1 , 4
91.45 , 2 , 4
91.97 , 3 , 4
92.49 , 4 , 4
93.01 , 1 , 4
93.53 , 2 , 4
94.05 , 3 , 4
94.57 , 4 , 4
95.09 , 1 , 4
95.61 , 2 , 4
96.13 , 3 , 4
96.65 , 4 , 4
97.17 , 1 , 4
97.69 , 2 , 4
98.21 , 3 , 4
98.73 , 4 , 4
99.25 , 1 , 4
99.77 , 2 , 4
100.29 , 3 , 4
100.81 , 4 , 4
101.33 , 1 , 4
101.85 , 2 , 4
102.37 , 3 , 4
102.89 , 4 , 4
103.41 , 1 , 4
103.93 , 2 , 4
104.45 , 3 , 4
104.97 , 4 , 4
105.49 , 1 , 4
106.01 , 2 , 4
106.53 , 3 , 4
107.05 , 4 , 4
107.57 , 1 , 4
108.09 , 2 , 4
108.61 , 3 , 4
109.13 , 4 , 4
109.65 , 1 , 4
110.17 , 2 , 4
110.69 , 3 , 4
111.21 , 4 , 4
111.73 , 1 , 4
112.25 , 2 , 4
112.77 , 3 , 4
113.28 , 4 , 4
113.79 , 1 , 4
114.3 , 2 , 4
114.81 , 3 , 4
115.32 , 4 , 4
115.8 , 1 , 4
116.28 , 2 , 4
116.76 , 3 , 4
117.24 , 4 , 4
117.72 , 1 , 4
118.2 , 2 , 4
118.68 , 3 , 4
119.16 , 4 , 4
119.62 , 1 , 4
120.08 , 2 , 4
120.54 , 3 , 4
121 , 4 , 4
121.46 , 1 , 4
121.92 , 2 , 4
122.38 , 3 , 4
122.84 , 4 , 4
123.3 , 1 , 4
123.76 , 2 , 4
124.22 , 3 , 4
124.68 , 4 , 4
125.14 , 1 , 4
125.6 , 2 , 4
126.06 , 3 , 4
126.53 , 4 , 4
127 , 1 , 4
127.47 , 2 , 4
127.93 , 3 , 4
128.39 , 4 , 4
128.85 , 1 , 4
129.31 , 2 , 4
129.77 , 3 , 4
130.23 , 4 , 4
130.69 , 1 , 4
131.15 , 2 , 4
131.61 , 3 , 4
132.07 , 4 , 4
132.53 , 1 , 4
132.99 , 2 , 4
133.45 , 3 , 4
133.91 , 4 , 4
134.37 , 1 , 4
134.83 , 2 , 4
135.3 , 3 , 4
135.77 , 4 , 4
136.24 , 1 , 4
136.71 , 2 , 4
137.17 , 3 , 4
137.63 , 4 , 4
138.09 , 1 , 4
138.55 , 2 , 4
139.01 , 3 , 4
139.47 , 4 , 4
139.93 , 1 , 3
140.39 , 2 , 3
140.85 , 3 , 3
141.31 , 1 , 4
141.77 , 2 , 4
142.23 , 3 , 4
142.69 , 4 , 4
143.15 , 1 , 4
143.61 , 2 , 4
144.07 , 3 , 4
144.53 , 4 , 4
144.98 , 1 , 4
145.43 , 2 , 4
145.88 , 3 , 4
146.33 , 4 , 4
146.78 , 1 , 4
147.23 , 2 , 4
147.68 , 3 , 4
148.13 , 4 , 4
148.58 , 1 , 4
149.03 , 2 , 4
149.49 , 3 , 4
149.95 , 4 , 4
150.41 , 1 , 4
150.87 , 2 , 4
151.33 , 3 , 4
151.79 , 4 , 4
152.25 , 1 , 4
152.71 , 2 , 4
153.17 , 3 , 4
153.63 , 4 , 4
154.09 , 1 , 4
154.55 , 2 , 4
155.02 , 3 , 4
155.49 , 4 , 4
155.96 , 1 , 4
156.43 , 2 , 4
156.9 , 3 , 4
157.37 , 4 , 4
157.84 , 1 , 4
158.31 , 2 , 4
158.78 , 3 , 4
159.25 , 4 , 4
159.72 , 1 , 4
160.19 , 2 , 4
160.66 , 3 , 4
161.13 , 4 , 4
161.6 , 1 , 4
162.07 , 2 , 4
162.54 , 3 , 4
163.01 , 4 , 4
163.48 , 1 , 4
163.95 , 2 , 4
164.41 , 3 , 4
164.87 , 4 , 4
165.33 , 1 , 4
165.79 , 2 , 4
166.25 , 3 , 4
166.71 , 4 , 4
167.17 , 1 , 4
167.63 , 2 , 4
168.09 , 3 , 4
168.55 , 4 , 4
169.01 , 1 , 4
169.47 , 2 , 4
169.93 , 3 , 4
170.39 , 4 , 4
170.85 , 1 , 4
171.31 , 2 , 4
171.77 , 3 , 4
172.23 , 4 , 4
172.69 , 1 , 4
173.15 , 2 , 4
173.61 , 3 , 4
174.07 , 4 , 4
174.53 , 1 , 4
174.99 , 2 , 4
175.45 , 3 , 4
175.91 , 4 , 4
176.38 , 1 , 4
176.85 , 2 , 4
177.32 , 3 , 4
177.78 , 4 , 4
178.24 , 1 , 4
178.7 , 2 , 4
179.16 , 3 , 4
179.62 , 4 , 4
180.08 , 1 , 4
180.54 , 2 , 4
181 , 3 , 4
181.46 , 4 , 4
181.92 , 1 , 4
182.38 , 2 , 4
182.85 , 3 , 4
183.32 , 4 , 4
183.78 , 1 , 4
184.24 , 2 , 4
184.7 , 3 , 4
185.16 , 4 , 4
185.62 , 1 , 3
186.08 , 2 , 3
186.54 , 3 , 3
187 , 1 , 3
187.46 , 2 , 3
187.92 , 3 , 3
188.38 , 1 , 3
188.84 , 2 , 3
189.3 , 3 , 3
189.76 , 1 , 4
190.22 , 2 , 4
190.68 , 3 , 4
191.14 , 4 , 4
191.61 , 1 , 4
192.08 , 2 , 4
192.55 , 3 , 4
193.01 , 4 , 4
193.47 , 1 , 4
193.93 , 2 , 4
194.39 , 3 , 4
194.85 , 4 , 4
195.31 , 1 , 4
195.77 , 2 , 4
196.23 , 3 , 4
196.69 , 4 , 4
197.15 , 1 , 4
197.61 , 2 , 4
198.07 , 3 , 4
198.53 , 4 , 4
199 , 1 , 4
199.47 , 2 , 4
199.93 , 3 , 4
200.39 , 4 , 4
200.85 , 1 , 4
201.31 , 2 , 4
201.77 , 3 , 4
202.23 , 4 , 4
202.69 , 1 , 4
203.16 , 2 , 4
203.63 , 3 , 4
204.09 , 4 , 4
204.55 , 1 , 4
205.01 , 2 , 4
205.47 , 3 , 4
205.93 , 4 , 4
206.39 , 1 , 4
206.85 , 2 , 4
207.31 , 3 , 4
207.77 , 4 , 4
208.23 , 1 , 4
208.69 , 2 , 4
209.15 , 3 , 4
209.61 , 4 , 4
210.07 , 1 , 4
210.53 , 2 , 4
210.99 , 3 , 4
211.45 , 4 , 4
211.91 , 1 , 4
212.37 , 2 , 4
212.83 , 3 , 4
213.29 , 4 , 4
213.76 , 1 , 4
214.23 , 2 , 4
214.69 , 3 , 4
215.15 , 4 , 4
215.61 , 1 , 4
216.07 , 2 , 4
216.53 , 3 , 4
216.99 , 4 , 4
217.45 , 1 , 4
217.91 , 2 , 4
218.37 , 3 , 4
218.83 , 4 , 4
219.3 , 1 , 3
219.77 , 2 , 3
220.23 , 3 , 3
220.69 , 1 , 4
221.15 , 2 , 4
221.61 , 3 , 4
222.07 , 4 , 4
222.53 , 1 , 4
222.99 , 2 , 4
223.45 , 3 , 4
223.91 , 4 , 4
224.37 , 1 , 4
224.83 , 2 , 4
225.29 , 3 , 4
225.75 , 4 , 4
226.21 , 1 , 4
226.68 , 2 , 4
227.15 , 3 , 4
227.62 , 4 , 4
228.08 , 1 , 4
228.54 , 2 , 4
229 , 3 , 4
229.46 , 4 , 4
229.92 , 1 , 4
230.38 , 2 , 4
230.84 , 3 , 4
231.3 , 4 , 4
231.76 , 1 , 4
232.22 , 2 , 4
232.68 , 3 , 4
233.14 , 4 , 4
233.6 , 1 , 4
234.06 , 2 , 4
234.53 , 3 , 4
235 , 4 , 4
235.47 , 1 , 4
235.94 , 2 , 4
236.41 , 3 , 4
236.88 , 4 , 4
237.35 , 1 , 4
237.82 , 2 , 4
238.28 , 3 , 4
238.74 , 4 , 4
239.2 , 1 , 4
239.66 , 2 , 4
240.12 , 3 , 4
240.58 , 4 , 4
241.04 , 1 , 4
241.5 , 2 , 4
241.96 , 3 , 4
242.42 , 4 , 4
242.88 , 1 , 4
243.34 , 2 , 4
243.8 , 3 , 4
244.26 , 4 , 4
244.72 , 1 , 4
245.18 , 2 , 4
245.64 , 3 , 4
246.1 , 4 , 4
246.56 , 1 , 4
247.02 , 2 , 4
247.48 , 3 , 4
247.94 , 4 , 4
248.4 , 1 , 4
248.86 , 2 , 4
249.32 , 3 , 4
249.78 , 4 , 4
250.23 , 1 , 4
250.68 , 2 , 4
251.13 , 3 , 4
251.58 , 4 , 4
252.03 , 1 , 4
252.5 , 2 , 4
252.97 , 3 , 4
253.44 , 4 , 4
253.91 , 1 , 4
254.38 , 2 , 4
254.85 , 3 , 4
255.32 , 4 , 4
255.78 , 1 , 4
256.24 , 2 , 4
256.7 , 3 , 4
257.16 , 4 , 4
257.62 , 1 , 4
258.08 , 2 , 4
258.54 , 3 , 4
259 , 4 , 4
259.46 , 1 , 4
259.92 , 2 , 4
260.38 , 3 , 4
260.84 , 4 , 4
261.31 , 1 , 4
261.78 , 2 , 4
262.24 , 3 , 4
262.7 , 4 , 4
263.16 , 1 , 4
263.62 , 2 , 4
264.08 , 3 , 4
264.54 , 4 , 4
265 , 1 , 4
265.46 , 2 , 4
265.92 , 3 , 4
266.38 , 4 , 4
266.84 , 1 , 3
267.3 , 2 , 3
267.76 , 3 , 3
268.22 , 1 , 4
268.68 , 2 , 4
269.14 , 3 , 4
269.6 , 4 , 4
270.06 , 1 , 4
270.53 , 2 , 4
271 , 3 , 4
271.47 , 4 , 4
271.94 , 1 , 4
272.4 , 2 , 4
272.86 , 3 , 4
273.32 , 4 , 4
273.78 , 1 , 4
274.24 , 2 , 4
274.7 , 3 , 4
275.16 , 4 , 4
275.62 , 1 , 4
276.08 , 2 , 4
276.54 , 3 , 4
277 , 4 , 4
277.46 , 1 , 4
277.92 , 2 , 4
278.39 , 3 , 4
278.86 , 4 , 4
279.32 , 1 , 4
279.78 , 2 , 4
280.24 , 3 , 4
280.7 , 4 , 4
281.16 , 1 , 4
281.62 , 2 , 4
282.08 , 3 , 4
282.54 , 4 , 4
283 , 1 , 4
283.46 , 2 , 4
283.92 , 3 , 4
284.38 , 4 , 4
284.84 , 1 , 4
285.3 , 2 , 4
